5.169878828456423e-26,2.3353947703744086e-10,-1.0856745539758488e-24,-5.825217441146668e-23,-6.14146288645086e-08,2.7602080388543374e-09,5.86544208256543e-08,3.775008665693605e-23,4.916620569209315e-09,4.916620569209271e-09,4.916620569209294e-09,4.916620569209247e-09,0
4.0376753650244663e-23,1.8640417274481372e-09,3.303552571392084e-23,9.613640001336867e-22,-4.901930602631757e-07,2.20311484981961e-08,4.6816191096777974e-07,-1.193851571092279e-21,3.92429837357492e-08,3.9242983735751255e-08,3.924298373574994e-08,3.924298373575067e-08,0
1.0598251598335667e-23,6.276732361593036e-09,4.497794759011508e-24,3.1343463094539826e-22,-1.6506125420925302e-06,7.418482707655434e-08,1.5764276969983043e-06,-7.806261034490785e-22,1.3214173392827405e-07,1.3214173392827442e-07,1.3214173392827474e-07,1.3214173392827474e-07,0
-2.0834611678679385e-23,1.4844085927955048e-08,-3.520687455273485e-23,-2.101379943815187e-22,-3.9035970608268966e-06,1.754426179939606e-07,3.728154596322105e-06,-5.461097291996104e-23,3.1250707216747536e-07,3.1250707216747356e-07,3.1250707216747573e-07,3.1250707216747456e-07,0
-7.599721877830942e-24,2.8925855295208886e-08,-4.844176464697149e-23,1.0075141810619544e-22,-7.606725108063372e-06,3.4187557142844527e-07,7.26485035679258e-06,-2.654660941185225e-22,6.089653746359775e-07,6.089653746359754e-07,6.089653746359779e-07,6.08965374635976e-07,0
-1.1844192395993665e-22,4.986913717706116e-08,-1.2454238116101317e-22,-1.6800422142807152e-21,-1.3114246791018053e-05,5.894053088056155e-07,1.252484423445875e-05,1.8132065147857606e-21,1.0498765721486596e-06,1.0498765721486524e-06,1.0498765721486581e-06,1.049876572148655e-06,0
-1.4491170356163354e-22,7.900842525203212e-08,-1.0799877236126595e-22,-2.1115269893060716e-21,-2.077709773415071e-05,9.338047182642223e-07,1.984330040262583e-05,2.160568410380939e-21,1.6633352684638383e-06,1.6633352684638313e-06,1.663335268463835e-06,1.663335268463833e-06,0
5.361164345109311e-23,1.176656703626167e-07,1.401554058027551e-22,3.909797625196676e-21,-3.0942914810312344e-05,1.3906987661936995e-06,2.9552233171537672e-05,-4.138157283805962e-21,2.4771720076340346e-06,2.4771720076340414e-06,2.4771720076340317e-06,2.4771720076340367e-06,0
1.727256516587291e-22,1.6715039964476106e-07,3.4860492281907573e-22,8.697069283399544e-21,-4.395606666021439e-05,1.9755667150063987e-06,4.198053771919811e-05,-8.775593793729247e-21,3.5189557819949623e-06,3.51895578199498e-06,3.518955781994963e-06,3.518955781994975e-06,0
2.322826557625471e-22,2.2875966038054922e-07,2.824304844563332e-22,1.0482308988968085e-20,-6.015764033893149e-05,2.7037400484500816e-06,5.745397457927994e-05,-1.0088396937665774e-20,4.8159928501168205e-06,4.815992850116837e-06,4.8159928501168205e-06,4.815992850116829e-06,0
1.1454900520210896e-21,3.037781943133942e-07,9.57409881725108e-22,2.4084169958160805e-20,-7.988548571254406e-05,3.590405978810666e-06,7.629521487097736e-05,-2.5304129329902113e-20,6.395330406597747e-06,6.395330406597806e-06,6.39533040659776e-06,6.395330406597782e-06,0
7.815305824977575e-22,3.93478484028495e-07,7.191819680606256e-22,1.2171706250551667e-20,-0.00010347422783798447,4.6506078160136605e-06,9.882385177202144e-05,-1.3744071932598606e-20,8.283757558494615e-06,8.28375755849466e-06,8.283757558494619e-06,8.283757558494637e-06,0
8.477050315019997e-22,4.991208316151407e-07,6.133029322165635e-22,1.523790561783659e-20,-0.00013125528745455323,5.899246098079803e-06,0.00012535642048114683,-1.585876648751138e-20,1.050780698137137e-05,1.0507806981371413e-05,1.050780698137137e-05,1.0507806981371384e-05,0
1.0462283785147263e-21,6.219534404461669e-07,8.250612731559592e-22,2.1775676960956027e-20,-0.00016355690228186888,7.3510797743911695e-06,0.00015620641898173094,-2.2450436451000805e-20,1.3093756640971916e-05,1.3093756640971972e-05,1.3093756640971918e-05,1.3093756640971938e-05,0
