0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.225863832694914252e-04,-9.985227078304633741e-01,-1.704671057888471411e-03,2.914003633646097043e-04,1.742941667221696480e-04,-6.402147501272501169e-05
9.667657369790720254e-04,-9.955683459589360629e-01,-5.113543326663295280e-03,8.738801755944341229e-04,5.223608143705976833e-04,-1.920382016379475025e-04
1.929588680826750322e-03,-9.911319223418092461e-01,-1.023779907439185261e-02,1.753336945987190795e-03,1.042667460637926834e-03,-3.839455406144851013e-04
3.206152294604602306e-03,-9.852033009942536834e-01,-1.710004626053883772e-02,2.941727185933416984e-03,1.732670732887529267e-03,-6.395519824070914705e-04
4.789600103114475052e-03,-9.777673095551345783e-01,-2.573396231544489154e-02,4.456809672032005509e-03,2.588813719038087022e-03,-9.585619766379776564e-04
6.671120114598833029e-03,-9.688038908245706349e-01,-3.618378622041456411e-02,6.321776582279242489e-03,3.606521045217417169e-03,-1.340550271077906898e-03
8.839941531411267886e-03,-9.582883092276039960e-01,-4.850362447139286437e-02,8.564749208415566029e-03,4.780192034134300369e-03,-1.784928091761108556e-03
1.128333098081761750e-02,-9.461914270221210010e-01,-6.275652426369321413e-02,1.121810667233509584e-02,6.103192430112074768e-03,-2.290901658550605242e-03
1.398658950117078435e-02,-9.324800686449319365e-01,-7.901325574124881679e-02,1.431760833515701575e-02,7.567845397939894705e-03,-2.857423773495021066e-03
1.693305212039529495e-02,-9.171174945101844278e-01,-9.735073543254836592e-02,1.790126406035524864e-02,9.165422845189716283e-03,-3.483139567576618197e-03
2.010409273314960055e-02,-9.000640072216476995e-01,-1.178500167857540609e-01,2.200790231841869699e-02,1.088613861256228221e-02,-4.166327969145395931e-03
2.347913815534418205e-02,-8.812777126156556839e-01,-1.405937736254572190e-01,2.667538600083357858e-02,1.271914574596511895e-02,-4.904841082344729188e-03
2.703569670055719701e-02,-8.607154540837526069e-01,-1.656632119001856251e-01,3.193843202784884400e-02,1.465254090539280449e-02,-5.696044438034487956e-03
3.074940829059185504e-02,-8.383339297720219241e-01,-1.931343684895822366e-01,3.782600610957917442e-02,1.667337993227432924e-02,-6.536761974437439032e-03
3.459412476146600524e-02,-8.140909870661768855e-01,-2.230737973594766888e-01,4.435829109104236223e-02,1.876770957041395266e-02,-7.423230542165076135e-03
3.854203026391529729e-02,-7.879470662740351017e-01,-2.555337060239211699e-01,5.154326810143282367e-02,2.092062110091456872e-02,-8.351069562607756416e-03
4.256381190281600946e-02,-7.598667358365146507e-01,-2.905466888916042878e-01,5.937300405973748585e-02,2.311633188546203393e-02,-9.315271975339791538e-03
4.662888928959463969e-02,-7.298202270503945099e-01,-3.281203027102376213e-01,6.781980310170079851e-02,2.533830010703767149e-02,-1.031022249673873431e-02
